Título,Descripción,Fecha,Fecha_año,Fecha_mes,Fecha_dia,Fecha_hora,Enlace permanente,Tipo de publicación,Personas alcanzadas,Total de clics,Impresiones,Interacciones,Veces que se compartió,Me gusta,Comentarios,Usuarios que interactúan,Año,Mes,Nombre_Mes,Mes_Y_Año
No tiene Título,"¿Sabías qué? #11

Grupo de investigación Galash
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #IA #investigación #data #datos #basededatos #videojuegos #programacion #computación",2024-02-14 07:02:00,2024,02,14,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02LjdrVvjwW6pLpV19yL41JVdJ123SJhMQguvACvEogpPu8cSzGeYsGC6TUFuwmbdrl,Foto,35,1.0,50.0,15,1,14,0,13.0,2024,2,February,February 2024
No tiene Título,"Frases! 

Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #frases #investigación #piesapositivo #InnovaciónTecnológica 🌐💻",2024-02-16 07:02:00,2024,02,16,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02B4d92pfgU42NRtcSs8fDgTrSiLXnRCu93HdQhhdNXZ28FMVhBBQaAb1T8LB6b4Ydl,Foto,39,2.0,54.0,14,1,13,0,12.0,2024,2,February,February 2024
No tiene Título,"Curiosidades #10

Grupo de investigación Galash
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #IA #investigación #data #datos #basededatos #videojuegos #programacion #computación",2024-02-19 07:02:00,2024,02,19,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid0268AYVzMjWekGckG5T5j8jEooxCz8vEDS89ZAT5bqWsmfR9ZjdCeuMa2gz3ZzB7PMl,Foto,43,1.0,54.0,14,1,13,0,12.0,2024,2,February,February 2024
Actualización de estado,No tiene descripción,2024-02-19 21:02:00,2024,02,19,21:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02qN4oE46GbCePotJNKV18XKzSNapmxncrGipusF7dJvvGGQyzkfJnd8yEYtc8Kcb4l,Video,29,0.0,34.0,11,0,11,0,11.0,2024,2,February,February 2024
Actualización de estado,No tiene descripción,2024-02-19 21:02:00,2024,02,19,21:02,https://www.facebook.com/GrupoGALASH/posts/pfbid0yK3TWjj8frsFhkma2JYHRZM7LT8DoMX6zfZ5qsAJyNDdu83z4pnUxioEasFZHugvl,Video,21,0.0,27.0,11,0,11,0,11.0,2024,2,February,February 2024
No tiene Título,"💻El grupo de investigación GALASH los invita a participar en esta convocatoria! 💻

🌍 ¡Participa en la Convocatoria para realizar un intercambio académico a nivel nacional o internacional y vive una experiencia inolvidable! 🌍

📅 Apertura: 19 de febrero de 2024
📆 Cierre: 05 de abril de 2024

🎓 Programas que pueden participar: TODOS LOS PROGRAMAS DE PREGRADO DE LA UNIVERSIDAD

🎓 50 becas disponibles
📝 ¿Cómo participar?

Revisa los requisitos en el portal oficial de la universidad.
Completa el formulario de solicitud antes del 05 de abril de 2024.
Prepárate para vivir una experiencia enriquecedora que marcará tu trayectoria académica y personal.

¡No dejes pasar esta oportunidad única de expandir tus horizontes académicos y culturales! 

Para más información: 
https://www.uptc.edu.co/sitio/portal/sitios/universidad/rectoria/relinter/convoc/conv_sal/index.html?fbclid=IwAR3MKFL8X5Wua1OFJaNS7IVMxPSK0FmH9I3w_U1-kPDoaxI5ootLM1y2q60",2024-02-20 14:02:00,2024,02,20,14:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02FSD7uRAN982hPRrf7vP1JxaE2KggVjcZEBozQLGgvNj81b2r4uFnhSQ5dxMUwPepl,Foto,40,2.0,53.0,11,0,11,0,12.0,2024,2,February,February 2024
No tiene Título,"¿Sabías qué? #12

Grupo de investigación Galash
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #IA #investigación #data #datos #basededatos #videojuegos #programacion #computación",2024-02-21 07:02:00,2024,02,21,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid0KzptUU9MAssew5p4rTH9VJVmp5Y9GNLzGkUYJpsJRob6V94H6VjxuBKjfkxPAJHSl,Foto,42,1.0,56.0,15,1,14,0,11.0,2024,2,February,February 2024
Actualización de estado,No tiene descripción,2024-02-24 14:02:00,2024,02,24,14:02,https://www.facebook.com/GrupoGALASH/posts/pfbid02RApqZyW5yMtHGdugvBVwycRV7TNcFJEn5YTfvVSqXk48aNx9tugj88W8Ez9ZQxS9l,Foto,32,0.0,37.0,11,1,10,0,10.0,2024,2,February,February 2024
No tiene Título,"Curiosidades #11

Grupo de investigación Galash
Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #IA #investigación #data #datos #basededatos #videojuegos #programacion #computación",2024-02-26 07:02:00,2024,02,26,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid03k1riqWzZNtixkgfDYsJHUm8M11ALNDU7Co7juEaWoxWX86Lv76H8PcsnBxUtxmZl,Foto,41,3.0,50.0,13,1,12,0,12.0,2024,2,February,February 2024
No tiene Título,"Frases! 

Síguenos en nuestra redes sociales:
Facebook: facebook.com/GrupoGALASH/
Instagram: instagram.com/grupogalash/
Twitter: twitter.com/GrupoGalash
linkedin: linkedin.com/in/galash-grupo-de-investigación

Grupo de investigación GALASH
#UPTC #uptcsogamoso #UPTCSomosTodos #investigación #curiosidades #frases #investigación #piesapositivo #InnovaciónTecnológica 🌐💻",2024-02-02 07:02:00,2024,02,02,07:02,https://www.facebook.com/GrupoGALASH/posts/pfbid0GjTQh3S9NsNnLSgbzRQuYZfkbxPrkCMH6Qvd4DWpWmL2Es4mmDoALerjceUAM1Yzl,Foto,55,0.0,74.0,15,1,14,0,14.0,2024,2,February,February 2024
